Nummer,Sector,Ligging,Oppervlakte,Eigenaar,Datum,Bron,Opmerkingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100153,"""polder die Kinneweeren""",1174 ½ roeden ven,1174 ½ roeden,Kees Huigen,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100154,"""polder die Kinneweeren""",Heijmes ven,1025 roeden,Claes Jansen Roongs,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100155,"""polder die Kinneweeren""",Pieter Mieuses ven,1046 roeden,Claes Clases,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100156,"""polder die Kinneweeren""",Harn ven,713 roeden,Eeff Jakops,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100157,"""polder die Kinneweeren""",Jaep leijers ven,1172 roeden,Jaep Pouwelsen,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100158,"""polder die Kinneweeren""","""voor muele ven""",1546 roeden,Pieter Mieuses ,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100159,"""polder die Kinneweeren""",Harn ven,729 ½ roeden,Heijn Sane,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100160,"""polder die Kinneweeren""",Blooms ven,1078 roeden,Beert Sijbrichs kinder,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100161,"""polder die Kinneweeren""",Eechten ven,999 roeden,jonge Jan Nannesen,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100162,"""polder die Kinneweeren""",muele ven,949 roeden,Jaep Janses,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100163,"""polder die Kinneweeren""",muelle ven,990 ¾ roeden,Jaep van Bentes,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100164,"""polder die Kinneweeren""",muelle ven,1568 roeden,Claes Sem Bruekel,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100165,"""polder die Kinneweeren""",lantien,581 ¼ roeden,Claes Broeris,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100166,"""polder die Kinneweeren""",Outweer,970 roeden,Pieter Mieuses ,1589,fol 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100167,"""polder die Kinneweeren""",Leijckelant,716 roeden,Eeffmoer,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100168,"""polder die Kinneweeren""",Heijmen ven,1048 roeden,Dirck van Room ,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100169,"""polder die Kinneweeren""",Heijnen weer ,"1347 roeden, an riet 12 roeden",Hasen Trijns,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100170,"""polder die Kinneweeren""",Hond ackeren,1400 roeden,Cornelis Clasen Futserfnamen,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100171,"""polder die Kinneweeren""",kamp,640 roeden,Im Gerrits,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100172,"""polder die Kinneweeren""",bult,392 roeden,Syme Claeses,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100173,"""polder die Kinneweeren""",Koor,1299 roeden,Claes Martses,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100174,"""polder die Kinneweeren""","een stuckien lants genaemt ""die halich""",340 roeden,Claes Martses,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100175,"""polder die Kinneweeren""",hop,1114 roeden,Heijn Sane,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100176,"""polder die Kinneweeren""",hop,694 roeden,Alit Reijers,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100177,"""lutke eijlant""",een ander eijlant genaemt lutken eylant,,,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100178,"""lutke eijlant""",Ruigelant,"916 roeden, an riet 146 roeden",Claes Pieter vaers,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100179,"""lutke eijlant""","een halich genaemt ""Paren deymt"" ",201 roeden,…,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100180,"""lutke eijlant""",Viskers halich,240 roeden,Claes Mieusen,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100181,"""lutke eijlant""",Venkelant,"1213 roeden, an riet 10 roeden",Claes Kuiten kinderen,1589,fol 72v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100182,"""lutke eijlant""",bult,"319 roeden, riet 20 roeden",Claes Jong Eechts,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100183,"""lutke eijlant""","""die wuerff""",741 roeden,Dirck Jansen ,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100184,"""lutke eijlant""",Heerings ven,761¼ roeden,Heijn Melisses,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100185,"""lutke eijlant""",Lienkelant en het deijmt,"1030 roeden, an riet 20 roeden",Goe Claes c.s.,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100186,"""lutke eijlant""",lutke wuerff,883 ½ roeden,Hillebrant Heijnses,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100187,"""lutke eijlant""",Noom Heynen lant,780 roeden,Goe Claes ,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100188,"""lutke eijlant""",Broeren Noort,"1153 roeden, riet 70 roeden",Hillegont Lastmans,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100189,"""lutke eijlant""",Krijt,"1674 roeden, riet 31 roeden",Geert Marsen,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100190,"""lutke eijlant""",leege ven,1287 ¼ roeden,Dirck Claes Dirckses kinderen  ,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100191,"""lutke eijlant""","""op hever""","707 roeden, an riet: 8 roeden",Claes Verlaen,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100192,"""lutke eijlant""","""op hever""","707 roeden, an riet 3 roeden  ",Jan Hilleses erfnamen,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100193,"""lutke eijlant""","""op hever""","noch een halich, hoort an de 2 leste landen, 238 ¾ roeden ",Jan Hilleses erfnamen,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100194,"""after Suier Ee""",Zuider Ee,,,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100195,"""after Suier Ee""",groot Emme lant,"1284 ¼ roeden, an riet 80 roeden",Jaep Ffransen van Suerwout,1589,fol 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100196,"""after Suier Ee""",Emmelant,"1094 roeden, an riet: 76 roeden",Pieter Mieuves ,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100197,"""after Suier Ee""",Emmelant,529 roeden,Claes Verlaen ,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100198,"""after Suier Ee""",Emmelant,547 roeden,Lijsie Claes,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100199,"""after Suier Ee""",Emmelant,"811 ½ roeden, riet 10 roeden",Jaep van Bentes,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100200,"""after Suier Ee""",ouweweer,"1199 roeden, an riet 40 roeden",Heijn van 't Oost,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100201,"""after Suier Ee""",oudeweer,824 roeden,Jannitien van Meppele,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100202,"""after Suier Ee""",oudeweer,563 roeden,Pieter Meuses,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100203,"""after Suier Ee""",lien,1561 roeden,Jan Ysbrantses,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100204,"""after Suier Ee""",Lange ven,"1041 roeden, an riet 18 roeden",Claes Mieuses erfnamen,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100205,"""after Suier Ee""","""voor Gerbrichsweer""",799 ½  roeden,Pieter oomkeeses,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100206,"""after Suier Ee""",Gerbrichsweer,911 roeden,Claes jong Eechts,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100207,"""after Suier Ee""",ackeren,885 roeden,Trijn Brantses,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100208,"""after Suier Ee""",ackeren,"806 roeden, an riet 10 roeden",Geert Broeris,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100209,"""after Suier Ee""",Gerbrichsweer,937 roeden,Alit Reijers ,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100210,"""after Suier Ee""","""het after Gerbrichsweer""",737 ¼ roeden,Alit Reijers,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100211,"""after Suier Ee""","""after ven""",1476 roeden,Jan Bering,1589,fol 73v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100212,"""after Suier Ee""","""Branten werffkamp""",1366 roeden,Griet Pietervaers c.s.,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100213,"""after Suier Ee""",werffkamp,499 ¼ roeden,Kock Dirck,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100214,"""after Suier Ee""",middelkamp,717 roeden,Eeffie Deckers,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100215,"""after Suier Ee""",afterkamp,1203 roeden,Jan Nennesen,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100216,"""after Suier Ee""",Smael,422 ¾ roeden,Griet jonge-Stijnes,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100217,"""after Suier Ee""",weer,"796 roeden, riet 25 roeden",Jan Aemses,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100218,"""after Suier Ee""",Boock ven,"765 ½ roeden, an riet 30 roeden",Noom Japen,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100219,"""after Suier Ee""","""Janse Paterslant""",746 roeden,ouwe Jan Nennesen,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100220,"""after Suier Ee""","""after Hageweer""",595 ½ roeden,Nies Nelles,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100221,"""after Suier Ee""",Hage weer,555 roeden,Claes Semmen,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100222,"""after Suier Ee""","""het vuer Hage weer""","962 roeden, an riet: 25 roeden",Geertie Voochtes,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100223,"""after Suier Ee""",Symenweer,"881 ¼ roeden, an riet 12 roeden",jonge Jan Nennesen,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100224,"""after Suier Ee""",Semmenweer,1416 ¼ roeden,Claes Sem Voocht ende Neeltien Garbrants ,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100225,"""after Suier Ee""",Jaenkelant,"613 ½ roeden, an riet 24 roeden",Jante Clasies,1589,fol 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100226,"""after Suier Ee""",hooffien,585 roeden,Dircks erffnamen,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100227,"""after Suier Ee""",Leijmt,"60 roeden, an riet 28 roeden",Claes Cornelisses ,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100228,"""after Suier Ee""",Hille kamp daer de ban op sceyt is Broocker paert,379 roeden,,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100229,"""eiland die Nes""","""een eylant genaemt die Nes""",,,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100230,"""eiland die Nes""",685 roeden,"685 roeden, an riet 7 roeden",Claes Cornelissen,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100231,"""eiland die Nes""",Nes ,636 roeden,Potter,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100232,"""eiland die Nes""",uijterste halich,64 roeden,Claes Cornelisses erfnamen,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100233,"""eiland die Nes""",hoffsteetien,"18 roeden, an riet 3 roeden ",Hillebrant Jan Mieuses ,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100234,"""eiland die Nes""",Nes Halich,367 roeden,Beert Jan Hueties erffnamen  ,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100235,"""over die Leeck""",,,,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100236,"""over die Leeck""","""Kerck ven""",1016 roeden,die kerck,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100237,"""over die Leeck""",Trijn Elbrichs ven,,moeijke Lijs ,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100238,"""over die Leeck""",Poort ven,1448 roeden,Jan van Benten c.s.,1589,fol 74v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100239,"""over die Leeck""","""Garbrant Reynes ven""","779 roeden, an riet 30 roeden",Jan Broer,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100240,"""over die Leeck""","""Garbrant Reynes ven""",929 roeden,Jaep Symses,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100241,"""over die Leeck""",ven,763 ½ roeden,Sijme Claeses,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100242,"""over die Leeck""",Haverdeijmt,513 roeden,Pieter Mieuses ,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100243,"""over die Leeck""","""after Haver deymt""",307 roeden,kerk ,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100244,"""over die Leeck""","""die pape noort""",667 roeden,,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100245,"""over die Leeck""",haver deijmt,373 ½  roeden,kerk,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100246,"""over die Leeck""",Blooms ven,1036 roeden,Kees Trijn Mieus,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100247,"""over die Leeck""",Capones lant,945 roeden,Hillebrant Dirckses,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100248,"""over die Leeck""",Kijst,1197 ¾ roeden,Jan Trijn Mieus,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100249,"""over die Leeck""",Kijst,742 roeden,het oosten weduwes,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100250,"""over die Leeck""",Kijst,802 roeden,Outger Barentses ,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100251,"""over die Leeck""",krijt,768 roeden,kerk,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100252,"""over die Leeck""",Noorse ven,1092 ¼ roeden,Heyn Melisses,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100253,"""over die Leeck""",werfkamp,1066 roeden,Neel t Aeffies kinderen ,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100254,"""over die Leeck""",Peertkamp,701 roeden,Eeffie Garbrant Sanes,1589,fol 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100255,"""over die Leeck""",die bult,914 roeden,die kercke,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100256,"""over die Leeck""",Lobrichs ven,1203 roeden,,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100257,"""over die Leeck""",Lange Weer,1369 roeden,Sijme tappers weduwe,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100258,"""over die Leeck""",Grietke weer ,1526 roeden,Claes Verlaen,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100259,"""over die Leeck""",Gueke weer,935 ½ roeden,Kees Kousen,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100260,"""over die Leeck""",deijmt,409 roeden,Kees Kousen,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100261,"""over die Leeck""",,614 roeden,Nel Claes Leeckmans,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100262,"""over die Leeck""","""over die Leet""",1357 roeden,Nel Dirck Syms ,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100263,"""over die Leeck""",1062 roeden ven,1062 roeden,Trijn Houwers,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100264,"""over die Leeck""",Poerslant,699 roeden,die weeskinderen,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100265,"""over die Leeck""",bij de Ffijn Wiele brug,"een halich, groot 210 ½ roeden ",die weeskinderen,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100266,"""over die Leeck""",Snepel,977 roeden,Heynderick Janses,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100267,"""over die Leeck""",Snepel,713 roeden,Dirck Janses ,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100268,"""over die Leeck""",Hovelant,885 roeden,Geertie Paters ,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100269,"""over die Leeck""",het Hannelant,986 roeden,heete Welmet,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100270,"""over die Leeck""",,1483 roeden,Neel t Aechies,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100271,"""over die Leeck""","""over die Leet""",1323 roeden,Beert Sijbrichs,1589,fol 75v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100272,"""over die Leeck""","""over die Leet""",1145 roeden,Claes Broeris,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100273,"""over die Leeck""","""Dirck jonge Lijs ven""",1207 ¼ roeden,Heijndricksen,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100274,"""over die Leeck""",deijmt,410 roeden,Eecht Bontekoe,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100275,"""over die Leeck""","""over die Leet""",950 ¼ roeden,Griet jonge Stijnes ,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100276,"""over die Leeck""",Cloversven,1235 ¾ roeden,Claes Jansen Rol,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100277,"""over die Leeck""",Cloversven,1267 roeden,Lijsbet van Marcke,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100278,"""over die Leeck""",1285 roeden ven,1285 ½ roeden,Jan Wilmses,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100279,"""over die Leeck""",1328 roeden,1328 roeden,Trijn Sybrants,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100280,"""over die Leeck""","""over die Leet""",1296 ½ roeden,Dirck Janses,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100281,"""over die Leeck""",Cleij oort,1927 roeden,Pieter Mieuses ,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100282,"""over die Leeck""",Martsven,625 ¼ roeden,Trijn Ffijes,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100283,"""over die Leeck""",Timps halich,108 roeden,Trijn Ffijes,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100284,"""over die Leeck""",Cooien,1029 roeden,Trijn Ffijes,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100285,"""over die Leeck""","""Hillebrant Jan Nellesven"" ",1001 ½ roeden,Jan Ysbrantsen,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100286,"""over die Leeck""","""Hillebrantsven""",1013 roeden,Kees Sem en Lijsie Potters ,1589,fol 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100287,"""over die Leeck""","""4 deymt""",1076 roeden,Grietien Pieter Vaers,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100288,"""over die Leeck""",Groot stuck,1159 roeden ,Pouwels kinderen,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100289,"""benoorden die Overleecker gou"" ",,,,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100290,"""benoorden die Overleecker gou"" ",,967 roeden,Pieter Costers erfnamen,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100291,"""benoorden die Overleecker gou"" ","""Sijme Vertslant""",1384 ½ roeden,Jan Teeng,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100292,"""benoorden die Overleecker gou"" ",deijmt,352 roeden,Rarepper kerck,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100293,"""benoorden die Overleecker gou"" ","""2 deijmt""",715 roeden,Jaep Claesen Keijsers,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100294,"""benoorden die Overleecker gou"" ","""op die Leeck""",1187 roeden,Weijntie Pieter Evertses,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100295,"""benoorden die Overleecker gou"" ",,"727 roeden, an riet 52 roeden",Nies Sijmes,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100296,"""benoorden die Overleecker gou"" ",Noort,"1307 roeden, an riet 13 roeden",Nies Gerrits ,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100297,"""benoorden die Overleecker gou"" ",deijmt,434 ¾ roeden,Jammies [?],1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100298,"""benoorden die Overleecker gou"" ","""Pieter Houwerslant"" ",1144 roeden,die gast,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100299,"""benoorden die Overleecker gou"" ","""an die overleecker gou""",981 roeden,Pieter s Coster,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100300,"""benoorden die Overleecker gou"" ",Kroonkelant,1019 ½ roeden,Heyme Janses,1589,fol 76v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100301,"""benoorden die Overleecker gou"" ","""4 deijmt""",700 roeden,Trijn Sijmes,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100302,"""benoorden die Overleecker gou"" ","""4 deymt""",723 roeden,Jan Pieter Snijers ,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100303,"""benoorden die Overleecker gou"" ",Noort,1072 roeden,Trijn Outgers,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100304,"""benoorden die Overleecker gou"" ",Noort,990 roeden,Claes Broeris erfnamen,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100305,"""benoorden die Overleecker gou"" ","""die kercke Start""",816 roeden,Trijn Ffijes kinderen ,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100306,"""benoorden die Overleecker gou"" ",Cluister,"1779 roeden, riet 3 roeden",Janses Jaep,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100307,"""benoorden die Overleecker gou"" ","""voor Kercker""",936 roeden,Kees Banis,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100308,"""benoorden die Overleecker gou"" ","""d'after Kercker""",505 roeden,Kees Banis,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100309,"""benoorden die Overleecker gou"" ","""die galick lanties met die start op die meer"" ",623 roeden,,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100310,"""benoorden die Overleecker gou"" ","""galick lanties an die gou""",447 roeden,Noom Jaep ,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100311,"""benoorden die Overleecker gou"" ","""Jan Konterslant""",1106 roeden,Noom Jaep,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100312,"""benoorden die Overleecker gou"" ",Afterlant,686 roeden,Heijn in t oosten,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100313,"""benoorden die Overleecker gou"" ",Vrouwe lant,284 roeden,de kerk,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100314,"""benoorden die Overleecker gou"" ","het kercke deymt, Trijn Ffijes ackeren met het kercken deymt",1213 roeden,Trijn Ffijes,1589,fol 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
